"FechaActualizacion","Agencia","AI_pct","RR_pct","PCITA_pct","VEL_pct","FactorDesempeno","ImportePB","Personal","QuiebreTotal_pct","BacklogInstala_dias","BacklogRepara_dias"
"14-09-2026","San Antonio","0,22","1,45","76,74","82,5","1,08","14457350","5","14,11","3,57","2"
"14-09-2026","Valparaíso","0,71","1,8","75,12","75,8","1,02","41473716","17","23,68","3,503","1,777"
"14-09-2026","Viña del Mar","3,35","7,89","68,28","68","0,923","60495099","34","31,31","3,097","1,447"
"15-09-2026","San Antonio","0,22","1,45","77,24","82,5","1,082","14484412","5","14,11","3,57","2"
"15-09-2026","Valparaíso","0,71","1,8","75,11","75,8","1,02","41473716","17","23,68","3,503","1,777"
"15-09-2026","Viña del Mar","3,35","7,89","68,12","68","0,9223","60447791","34","31,31","3,097","1,447"
"16-09-2026","San Antonio","0,22","1,45","76,92","82,5","1,0807","14467093","5","14,11","3,635","1,922"
"16-09-2026","Valparaíso","0,71","1,8","73,72","75,8","1,02","41473716","17","23,68","3,24","1,553"
"16-09-2026","Viña del Mar","3,4","7,97","67,98","68","0,9217","60406397","34","31,31","3,384","1,438"
"17-09-2026","San Antonio","0,22","1,45","76,92","82,5","1,0807","14467093","5","14,11","3,635","1,664"
"17-09-2026","Valparaíso","0,71","1,94","73,72","75,8","1,02","41473716","17","23,68","3,24","1,477"
"17-09-2026","Viña del Mar","3,4","8,29","67,98","68","0,9217","60406397","34","31,31","3,384","1,222"
"19-09-2026","San Antonio","0,22","1,45","77,72","82,5","1,0839","14510392","5","14,11","4,138","1,815"
"19-09-2026","Valparaíso","0,71","1,94","72,24","75,8","1,0146","41254149","17","23,68","3,284","1,315"
"19-09-2026","Viña del Mar","3,45","8,37","67,06","68","0,9175","60134376","34","31,31","3,034","1,234"
"20-09-2026","San Antonio","0,22","1,45","77,72","82,1","1,0799","14456845","5","14,11","4,138","1,815"
"20-09-2026","Valparaíso","0,71","1,94","72,24","72,5","1,0146","41254149","17","23,68","3,284","1,315"
"20-09-2026","Viña del Mar","3,45","8,37","67,06","69,5","0,9175","60134376","34","31,31","3,034","1,234"
"21-09-2026","San Antonio","0,22","1,45","77,96","82,1","1,0809","14469835","5","14,11","3,803","2,359"
"21-09-2026","Valparaíso","0,71","1,94","71,9","72,5","1,0131","41194901","17","23,68","4,212","1,763"
"21-09-2026","Viña del Mar","3,45","8,37","66,7","69,5","0,9159","60027933","34","31,31","3,879","1,494"
"22-09-2026","San Antonio","0,22","1,45","77,94","82,1","1,0808","14468752","5","14,11","4,058","2,359"
"22-09-2026","Valparaíso","0,71","1,94","71,65","72,5","1,0121","41151336","17","23,68","4,863","1,763"
"22-09-2026","Viña del Mar","3,45","8,37","66,08","69,5","0,9131","59844614","34","31,31","4,159","1,494"
